update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,512,-7.859011,37.832750,0.692659,0.000535,0.0000
2,1024,-9.822871,57.981450,0.689799,0.000518,0.0000
3,1536,-7.991666,38.788430,0.684998,0.000188,0.0000
4,2048,-8.563607,43.772222,0.683334,0.000137,0.0000
5,2560,-11.615399,74.160194,0.682283,0.000144,0.0000
6,3072,-8.860828,45.812668,0.678166,0.000070,0.0000
7,3584,-8.423105,45.590672,0.673599,0.000379,0.0000
8,4096,-8.651574,45.758607,0.677215,0.000342,0.0000
9,4608,-7.007013,36.214455,0.674479,0.000184,0.0000
10,5120,-5.930630,30.035092,0.675264,0.002739,0.0039
11,5632,-2.918584,20.470495,0.678275,0.006948,0.0435
12,6144,-4.414856,27.993794,0.679734,0.000863,0.0000
13,6656,-1.680186,24.413287,0.674273,0.002175,0.0078
14,7168,-3.875987,34.551409,0.674295,0.001114,0.0029
15,7680,-3.978174,34.443954,0.668898,0.002414,0.0117
16,8192,-0.369558,25.550207,0.664443,0.010507,0.1167
17,8704,-4.656377,39.849028,0.662631,0.004131,0.0015
18,9216,-1.165157,30.416630,0.661047,0.002651,0.0078
19,9728,-2.731927,39.847253,0.663967,0.000844,0.0000
20,10240,-0.541918,35.318690,0.655418,0.004289,0.0415
21,10752,-3.218521,40.696238,0.649402,0.001080,0.0049
22,11264,-2.158375,39.637144,0.633290,0.009034,0.0747
23,11776,-2.914038,44.118403,0.654417,0.003743,0.0137
24,12288,0.929124,37.284371,0.636156,0.005720,0.0317
25,12800,-4.773513,48.191326,0.651606,0.000980,0.0000
26,13312,-3.899547,47.500670,0.654732,0.000675,0.0039
27,13824,-0.849142,45.538676,0.632503,0.008410,0.0747
28,14336,-3.760551,44.628171,0.648031,0.006877,0.0503
29,14848,-4.876290,47.125562,0.645041,0.006892,0.0498
30,15360,-2.716043,49.036320,0.640076,0.008997,0.1011
31,15872,-3.235629,47.977437,0.641672,0.002445,0.0044
32,16384,2.163806,48.851178,0.617859,0.004186,0.0366
33,16896,-0.995971,47.299496,0.622190,0.001261,0.0107
34,17408,-2.332766,47.834852,0.607355,0.009469,0.1035
35,17920,-2.984802,47.152529,0.602013,0.009752,0.0972
36,18432,-4.936192,52.282678,0.625512,0.006798,0.0640
37,18944,-3.539372,51.208853,0.631336,0.002031,0.0039
38,19456,-3.343916,51.057778,0.623197,0.001279,0.0112
39,19968,-3.273366,52.772600,0.632115,0.000613,0.0020
40,20480,-5.911707,62.785942,0.655824,0.001105,0.0020
41,20992,-1.150880,57.311092,0.622993,0.002333,0.0190
42,21504,-5.942045,53.978233,0.607204,0.004787,0.0269
43,22016,-2.191107,58.623496,0.623844,0.007687,0.0938
44,22528,0.021643,68.491357,0.599650,0.003199,0.0210
45,23040,-5.956315,58.414139,0.611308,0.001048,0.0083
46,23552,-3.413673,57.293325,0.621713,0.005893,0.0576
47,24064,-2.245533,65.331941,0.621209,0.001145,0.0000
48,24576,-2.425927,56.484001,0.613573,0.004709,0.0249
49,25088,-2.079130,61.443997,0.611790,0.002194,0.0083
50,25600,-5.572461,53.629725,0.611894,0.004415,0.0376
51,26112,-1.248419,62.250867,0.619189,0.003021,0.0161
52,26624,-6.349153,51.237060,0.633163,0.001535,0.0098
53,27136,-4.406643,52.475170,0.641657,0.000721,0.0015
54,27648,-0.394136,67.685019,0.630342,0.002481,0.0146
55,28160,-2.422485,68.762666,0.602420,0.012618,0.1431
56,28672,-3.011122,56.464646,0.619105,0.003414,0.0127
57,29184,-3.160933,62.850302,0.623134,0.000555,0.0054
58,29696,-3.005699,63.642494,0.627720,0.000766,0.0000
59,30208,-1.291469,65.699748,0.610629,0.001579,0.0146
60,30720,-2.758422,64.413735,0.624760,0.001600,0.0044
61,31232,-4.112369,54.923618,0.629542,0.001459,0.0098
62,31744,2.688865,75.504712,0.602200,0.005899,0.0371
63,32256,-3.101542,56.852659,0.601096,0.006312,0.0425
64,32768,1.444464,79.611161,0.584685,0.006469,0.0532
65,33280,-3.528349,50.502389,0.595317,0.005678,0.0405
66,33792,-2.240896,50.099962,0.585459,0.003412,0.0317
67,34304,-2.134293,61.052421,0.605555,0.000908,0.0029
68,34816,-5.243511,29.352352,0.604826,0.000527,0.0005
69,35328,-5.002696,23.234876,0.609418,0.001817,0.0142
70,35840,3.245644,88.506544,0.584930,0.005844,0.0469
71,36352,-2.767224,46.065027,0.610047,0.001469,0.0068
72,36864,-1.472009,57.264264,0.610820,0.009368,0.0840
73,37376,0.465879,75.662507,0.584507,0.010432,0.1475
74,37888,-0.295580,60.679194,0.569604,0.005927,0.0425
75,38400,-2.346605,52.260517,0.611925,0.006108,0.0669
76,38912,-1.934951,62.478269,0.587987,0.000488,0.0029
77,39424,-4.801725,24.083675,0.592932,0.000810,0.0068
78,39936,-3.687137,45.121281,0.634298,0.004162,0.0288
79,40448,4.007681,102.596482,0.589939,0.005688,0.0488
80,40960,-3.773580,34.655466,0.586435,0.003886,0.0308
81,41472,1.037225,65.003860,0.562695,0.011027,0.1509
82,41984,-1.088759,70.815133,0.592819,0.005545,0.0322
83,42496,-4.536729,33.603485,0.587117,0.002939,0.0308
84,43008,3.992174,97.085107,0.556720,0.016237,0.2188
85,43520,-3.241875,48.605421,0.564544,0.006014,0.0586
86,44032,1.099485,75.771843,0.567023,0.011973,0.1670
87,44544,-4.790965,54.947103,0.618480,0.000596,0.0005
88,45056,-0.465903,60.560494,0.575692,0.005348,0.0405
89,45568,-1.162877,44.812594,0.568985,0.002972,0.0229
90,46080,-0.618321,68.777044,0.576646,0.003876,0.0293
91,46592,-1.613004,43.709934,0.581158,0.001496,0.0166
92,47104,-3.198955,34.647591,0.603754,0.003804,0.0215
93,47616,-1.048344,57.357248,0.593398,0.007402,0.0801
94,48128,-1.478784,45.196123,0.587841,0.007489,0.0972
95,48640,-2.310891,51.085450,0.586699,0.006967,0.0630
96,49152,1.454090,69.728024,0.564690,0.010221,0.0884
97,49664,-1.666133,48.169343,0.556789,0.005523,0.0654
98,50176,0.337640,60.673603,0.560820,0.006401,0.0693
99,50688,-3.058515,29.483654,0.558453,0.002293,0.0181
100,51200,4.250106,104.536734,0.582158,0.007442,0.0684
101,51712,-0.180540,60.324907,0.553034,0.003547,0.0361
102,52224,5.956208,99.206241,0.565455,0.014835,0.2046
103,52736,-5.201372,21.369369,0.582313,0.001795,0.0146
104,53248,-3.483815,13.676731,0.566184,0.003539,0.0356
105,53760,-2.323021,27.230703,0.582180,0.003365,0.0244
106,54272,4.223551,92.897042,0.595480,0.009430,0.1069
107,54784,1.277853,68.320231,0.555474,0.005079,0.0430
108,55296,-2.166508,52.801522,0.584660,0.001426,0.0103
109,55808,-4.002239,15.524648,0.603923,0.001309,0.0039
110,56320,3.717428,92.321342,0.573979,0.002861,0.0205
111,56832,-3.609870,35.287353,0.548493,0.003812,0.0303
112,57344,-2.285460,50.486946,0.571287,0.005755,0.0522
113,57856,-4.694663,16.273900,0.590784,0.002359,0.0254
114,58368,-2.093402,31.317346,0.588133,0.002881,0.0088
115,58880,6.748577,129.738138,0.582496,0.008655,0.0649
116,59392,-1.788378,31.610926,0.573706,0.002955,0.0107
117,59904,5.701939,109.142457,0.561373,0.007709,0.0615
118,60416,-2.264667,31.365189,0.567187,0.005400,0.0654
