episode,step,return
1,19,19.0
2,36,17.0
3,60,24.0
4,77,17.0
5,97,20.0
6,113,16.0
7,139,26.0
8,181,42.0
9,249,68.0
10,297,48.0
11,310,13.0
12,333,23.0
13,362,29.0
14,384,22.0
15,404,20.0
16,426,22.0
17,449,23.0
18,506,57.0
19,517,11.0
20,552,35.0
21,575,23.0
22,585,10.0
23,601,16.0
24,638,37.0
25,673,35.0
26,702,29.0
27,733,31.0
28,771,38.0
29,789,18.0
30,852,63.0
31,895,43.0
32,906,11.0
33,920,14.0
34,936,16.0
35,948,12.0
36,964,16.0
37,980,16.0
38,1025,45.0
39,1043,18.0
40,1052,9.0
41,1069,17.0
42,1087,18.0
43,1107,20.0
44,1122,15.0
45,1178,56.0
46,1189,11.0
47,1224,35.0
48,1235,11.0
49,1260,25.0
50,1270,10.0
51,1284,14.0
52,1310,26.0
53,1377,67.0
54,1409,32.0
55,1417,8.0
56,1425,8.0
57,1437,12.0
58,1449,12.0
59,1474,25.0
60,1492,18.0
61,1564,72.0
62,1576,12.0
63,1592,16.0
64,1608,16.0
65,1618,10.0
66,1631,13.0
67,1661,30.0
68,1677,16.0
69,1700,23.0
70,1715,15.0
71,1727,12.0
72,1754,27.0
73,1777,23.0
74,1786,9.0
75,1802,16.0
76,1820,18.0
77,1840,20.0
78,1853,13.0
79,1867,14.0
80,1918,51.0
81,1949,31.0
82,1961,12.0
83,1980,19.0
84,1994,14.0
85,2010,16.0
86,2022,12.0
87,2040,18.0
88,2065,25.0
89,2085,20.0
90,2113,28.0
91,2123,10.0
92,2163,40.0
93,2200,37.0
94,2212,12.0
95,2260,48.0
96,2286,26.0
97,2305,19.0
98,2323,18.0
99,2355,32.0
100,2370,15.0
101,2391,21.0
102,2507,116.0
103,2524,17.0
104,2540,16.0
105,2556,16.0
106,2649,93.0
107,2669,20.0
108,2681,12.0
109,2693,12.0
110,2716,23.0
111,2724,8.0
112,2752,28.0
113,2770,18.0
114,2787,17.0
115,2805,18.0
116,2836,31.0
117,2868,32.0
118,2927,59.0
119,2953,26.0
120,2968,15.0
121,2979,11.0
122,3007,28.0
123,3095,88.0
124,3114,19.0
125,3126,12.0
126,3205,79.0
127,3218,13.0
128,3269,51.0
129,3299,30.0
130,3318,19.0
131,3342,24.0
132,3367,25.0
133,3408,41.0
134,3470,62.0
135,3487,17.0
136,3496,9.0
137,3514,18.0
138,3534,20.0
139,3578,44.0
140,3616,38.0
141,3640,24.0
142,3664,24.0
143,3692,28.0
144,3720,28.0
145,3752,32.0
146,3785,33.0
147,3817,32.0
148,3829,12.0
149,3849,20.0
150,3881,32.0
151,3893,12.0
152,3916,23.0
153,3929,13.0
154,3942,13.0
155,3966,24.0
156,4020,54.0
